code;name;situacao;cnpj;type;place;district;city;state;zip_code;phoneNumber;email;templo;membros;superintendence;region;type_correspondence;place_correspondence;district_correspondence;city_correspondence;state_correspondence;zip_code_correspondence;content;title;created_at
0001;OBPC - LENCOIS PTA - PQ ELIZABETH;ATIVA;54.723.903/0001-20;PRINCIPAL;RUA CARÍSSIMO PETENAZZI, 110;PARQUE ELIZABETH;LENÇOIS PAULISTA;SP;18680-450;(14) 998402415;adonias.cruz2010@hotmail.com;PROPRIO;180;AVARÉ;INTERIOR;CORRESPONDÊNCIA;RUA CARÍSSIMO PETENAZZI, 110;PQ. ELIZABETH;LENÇOIS PAULISTA;SP;18680-450;ATUALIZAÇÃO PRESIDENTE;PRESIDENTE;21/12/2022
0002;OBPC - STA CRUZ R PARDO - VL.STA  AURELIANA;ATIVA;143.100.798-65;PRINCIPAL;RUA ALBINO TREVISAN, 360;VILA STA. AURELIANA;SANTA CRUZ DO RIO PARDO;SP;18900-000;;;PROPRIO;65;SANTA CRUZ DO RIO PARDO;INTERIOR ;CORRESPONDÊNCIA;RUA ALBINO TREVISAN, 360;VILA STA. AURELIANA;SANTA CRUZ DO RIO PARDO;SP;18900-000;PR DIRIGENTE NÃO CREDENCIADO PELA OBRA;ENDEREÇOS;09/03/2021
0003;OBPC - BOTUCATU - JD. VISTA LINDA;ATIVA;50.820.869/0001-50;PRINCIPAL;RUA MONS. JOSÉ MARIA DA SILVA PAES, 135;JARDIM VISTA LINDA;BOTUCATU;SP;18604-330;(14) 99622-7411;pr.wellington_@hotmail.com ;PROPRIO;150;AVARÉ;INTERIOR;CORRESPONDÊNCIA;RUA MONS. JOSÉ MARIA DA SILVA PAES, 135;JD. VISTA LINDA;BOTUCATU;SP;18604-330;ATUALIZAÇÃO;ATUALIZADO;30/03/2021
0004;OBPC - TAGUAI - CENTRO;ATIVA;50.367.135/0001-68;PRINCIPAL;RUA JOSÉ INACIO RIBEIRO, 1050;CENTRO;TAGUAI;SP;18890-000;;;PROPRIO;30;AVARÉ;INTERIOR;CORRESPONDÊNCIA;RUA JOSÉ INACIO RIBEIRO, 1050;CENTRO;TAGUAI;SP;18890-000;ATUALIZAÇÃO DE ENDEREÇO E DIRIGENTE;ENDEREÇOS/ DIRIGENTE;05/03/2021
0005;OBPC - MONGAGUA - AGUAPEU;ATIVA;45.156.998.0001/56;PRINCIPAL;AVENIDA EDWILSON JOSÉ DO CARMO, 724;AGUAPEU;MONGAGUÁ;SP;11730-000;(13) 99761-0520;eliasmm007@gmail.com;PROPRIO;120;BAIXADA SANTISTA;LITORAL;CORRESPONDÊNCIA;AVENIDA EDWILSON JOSÉ DO CARMO, 724;AGUAPEU;MONGAGUÁ;SP;11730-000;POSSE PRIVSÓRIA DO PRES POR MAIS 6 MESES 13/10/2018;CNPJ;15/03/2022
0007;OBPC - ATIBAIA - ALVINOPOLIS;ATIVA;67.160.648/0001-04;PRINCIPAL;AVENIDA DONA GERTRUDES, 335;JARDIM ALVINÓPOLIS;ATIBAIA;SP;12942-581;(14) 99658-2454;ormaximo@hotmail.com;PROPRIO;170;JUNDIAÍ;GRANDE SP;CORRESPONDÊNCIA;RUA SEBASTIÃO GARCIA GIMENEZ, 376;JD. ALVINÓPOLIS;ATIBAIA;SP;12942-581;ATUALIZAÇÃO DE ENDEREÇO;ENDEREÇO DA IGREJA;21/03/2022
0008;OBPC - GUARULHOS - PIMENTAS;ATIVA;46.009.973/0001-92;PRINCIPAL;ESTRADA SACRAMENTO, 214;PIMENTAS;GUARULHOS;SP;07263-000;(11) 97655-9931;pimentasobpc@gmail.com;PROPRIO;0;CAPITAL;GRANDE SP;CORRESPONDÊNCIA;EST. SACRAMENTO, 214;PIMENTAS;GUARULHOS;SP;07263-000;ATUALIZAÇÃO;ATUALIZADO;30/03/2021
0009;OBPC - NOVA ODESSA - BELA VISTA;ATIVA;074.296.708-57;PRINCIPAL;RUA TREZE DE MAIO, 435;BELA VISTA;NOVA ODESSA;SP;13.380-029 ;(19) 99669-0240;pastorvaldinei@gmail.com;OUTRO;25;AMERICANA;INTERIOR;CORRESPONDÊNCIA;RUA CEZARINA CONSTANCIO BORDON, 43;JD. STA LUIZA I;NOVA ODESSA;SP;13387-722;ATUALIZAÇÃO NO ENDEREÇO DE CORRESPONDÊNCIA;ENDEREÇO DE CORRESPONDENCIA ;27/04/2021
0010;OBPC - SAO CARLOS - STA TEREZA ;ATIVA;02.233.365/0001-91;PRINCIPAL;RUA CORONEL LEOPOLDO PRADO, 1.192;JARDIM SANTA TEREZA ;SÃO CARLOS;SP;13575-640;(16)  98199-2557;obpcsaocarlosboavista@gmail.com;OUTRO;63;RIBEIRÃO PRETO;INTERIOR;CORRESPONDÊNCIA;RUA CORONEL LEOPOLDO PRADO, 1.192;JARDIM BOA VISTA;SÃO CARLOS;SP;13575-640;BOLETOS DD ENVIADOS POR E-MAIL DIA 15/02/2018 E TM 27/02/18;ATUALIZADO;24/10/2022
0011;OBPC - SP- CANGAIBA;ATIVA;60.560.885/0001-05;PRINCIPAL;AVENIDA DR. SALOMÃO VASCONCELOS, 215;CANGAÍBA;SÃO PAULO;SP;03721-020;(11) 2566 5074;;PROPRIO;80;CAPITAL;CAPITAL;CORRESPONDÊNCIA;RUA GASPAR CARRASCO, 12;ITAIM PAULISTA;SÃO PAULO;SP;08141-220;ATUALIZAÇÃO NO PASTOR PRESIDENTE, DIRIGENTE E ENDEREÇO DE CORRESPONDÊNCIA;PR. DIRIGENTE E PRESIDENTE / ENDEREÇO DE CORRESPONDENCIA ;30/03/2021
0012;OBPC - ARAPEI - CAPITAO MOR;ATIVA;45.191.897/0001-16;PRINCIPAL;AVENIDA SEBASTIÃO ROSA, 1627;CAPITÃO MOR;ARAPEI;SP;12850-000;(12) 99732-7790;;OUTRO;0;VALE DO PARAÍBA;INTERIOR;CORRESPONDÊNCIA;AV. SEBASTIÃO ROSA, 1627;CAPITÃO MOR;ARAPEI;SP;12850-000;ATUALIZAÇÃO DE DIRIGENTE E TELEFONE;DIRIGENTE E TEL;31/03/2021
0013;OBPC - VALINHOS - PQ FLORENCE;ATIVA;51.886.935/0001-58;PRINCIPAL;AVENIDA JOAQUIM ALVES CORREIA, 1215;PARQUE FLORENCE;VALINHOS;SP;13270-400;(19) 99758-4087;maycoln.gervazio@delaval.com;PROPRIO;120;AMERICANA;INTERIOR;CORRESPONDÊNCIA;RUA DOS MANACAS, 03;JD.  NOVO MUNDO III;VALINHOS;SP;13273-030;ATUALIZAÇÃO DE DIRIGENTE E PRESIDENTE;DIRIGENTE E PRESIDENTE;12/04/2022
0014;OBPC - OURO VERDE - CENTRO;ATIVA;03.784.605/0001-09;PRINCIPAL;AVENIDA BRASIL, 451;NOVA ESPERANÇA;OURO VERDE;SP;17920-000;(18) 9 9677-7770;obpc_ouroverde@hotmail.com;PROPRIO;150;DRACENA;INTERIOR;CORRESPONDÊNCIA;RUA VITÓRIA, 168 ;INDUSTRIAL;OURO VERDE;SP;17920-000;ATUALIZAÇÃO DE SUPERINTENDÊNCIA;SUPERINTENDENCIA ;04/02/2022
6323;OBPC - SUZANO - IPELANDIA;ATIVA;51.365.021/0001-41;PRINCIPAL;ESTRADA KEIDA HARADA, 409;JARDIM IPELÂNDIA ;SUZANO;SP;08620-050;(11) 97617-0147;;OUTRO;0;ALTO TIETE;GRANDE SP;CORRESPONDÊNCIA;ESTRADA KEIDA HARADA, 409;JARDIM IPELÂNDIA ;SUZANO;SP;08620-050;CADASTRO INICIAL;CADASTRO INCIAL;26/01/2021
6324;OBPC - SUZANO - POMPEIA;ATIVA;51.365.021/0001-41;PRINCIPAL;RUA JOSÉ ALVES, 98;JARDIM POMPÉIA;SUZANO;SP;08655-628;(11) 94207-4561;;OUTRO;0;ALTO TIETE;GRANDE SP;CORRESPONDÊNCIA;RUA JOSÉ ALVES, 98;JARDIM POMPÉIA;SUZANO;SP;08655-628;CADASTRO INICIAL;CADASTRO INICIAL;26/01/2021
6325;OBPC - S.B. DO CAMPO - PQ LOS ANGELES;ATIVA;67.177.592/0001-92;PRINCIPAL;RUA JOÃO SALDANHA, 88;PARQUE LOS ANGELES;SÃO BERNARDO DO CAMPO;SP;09842-200;(11) 97592 1639;;OUTRO;0;GRANDE ABC;GRANDE SP;CORRESPONDÊNCIA;RUA JOÃO SALDANHA, 88;PARQUE LOS ANGELES;SÃO BERNARDO DO CAMPO;SP;09842-200;CADASTRO INICIAL;CADASTRO INCIAL;02/03/2021
6326;OBPC - JAGUARIUNA - VL. PRIMAVERA ;ATIVA;62.027.289/0001-90 ;PRINCIPAL;RUA GELSON TONIETTI (TERÇÃO), 282;VL.  PRIMAVERA;JAGUARIUNA;SP;13910-354;(19)  99239-4960;pastorantoniovicente@gmail.com;PROPRIO;60;AMERICANA;INTERIOR ;CORRESPONDÊNCIA;RUA GELSON TONIETTI (TERÇÃO), 282;VILA  PRIMAVERA;JAGUARIUNA;SP;13910-354;CADASTRO INICIAL E NOVA SEDE, ATUALIZAÇÃO DO CÓDIGO;CADASTRO INICIAL/ NOVA SEDE DE JAGUARIUNA (ANTIGA 5971);04/03/2021
6327;OBPC - CANANEIA - VL MUNICIPALISTA;ATIVA;64.037.823/0001-74;PRINCIPAL;AVENIDA VER. SEBASTIÃO DA LUZ, 795;VILA MUNICIPALISTA;CANANÉIA;SP;11990-000;(13) 99738-1226;;PROPRIO;0;VALE DO RIBEIRA;INTERIOR;CORRESPONDÊNCIA;RUA SÃO PAULO, 269;VILA PERI PERI;PARIQUERA AÇÚ;SP;11930-000;CADASTRO INICIAL;CADASTRO INICIAL;04/03/2021
6328;OBPC - CANANEIA - RIO DAS MINAS;ATIVA;64.037.823/0001-74;PRINCIPAL;ESTRADA DO ARIRI, KM 22;RIO DAS MINAS;CANANÉIA;SP;11990-000;(13) 99600-2248;;PROPRIO;0;VALE DO RIBEIRA;INTERIOR;CORRESPONDÊNCIA;RUA SÃO PAULO, 269;VILA PERI PERI;PARIQUERA AÇÚ;SP;11930-000;CADASTRO INICIAL;CADASTRO INICIAL;04/03/2021
6329;OBPC - SERTAOZINHO - JD. 1 DE MAIO;ATIVA;03.017.326/0001-10;PRINCIPAL;AVENIDA  JOSÉ ANTONIO ANGELOTTI, 339;PRIMEIRO DE MAIO;SERTÃOZINHO;SP;14161-190;(16) 99135-2415;newtonbonfim@gmail.com;OUTRO;0;RIBEIRÃO PRETO;INTERIOR ;CORRESPONDÊNCIA;AVENIDA  JOSÉ ANTONIO ANGELOTTI, 339;PRIMEIRO DE MAIO;SERTÃOZINHO;SP;14161-190;ATUALIZAÇÃO NO ENDEREÇO DE CORRESPONDÊNCIA;ENDEREÇO DE CORRESPONDENCIA ;26/10/2022
